Disease Name,Recommended Intake to Improve Deficiency
Cardiac Arrhythmia,"Bananas, Oranges, Avocados, Spinach"
Cardiac Arrhythmia,"Spinach, Nuts, Whole Grains, Legumes"
Chronic Kidney Disease,"Fatty Fish, Fortified Foods, Egg Yolks, Mushrooms"
Chronic Kidney Disease,"Dairy Products, Leafy Greens, Fortified Orange Juice, Tofu"
Acute Kidney Injury,"Meat, Fish, Dairy Products, Nuts"
Acute Kidney Injury,"Bananas, Sweet Potatoes, Spinach, Avocados"
Nephrotic Syndrome,"Eggs, Fish, Chicken, Legumes"
Nephrotic Syndrome,"Walnuts, Flaxseeds, Chia Seeds, Salmon"
Polycystic Kidney Disease,"Fatty Fish, Chia Seeds, Walnuts, Flaxseeds"
Polycystic Kidney Disease,"Spinach, Nuts, Seeds, Whole Grains"
Kidney Stones,"Dairy Products, Leafy Greens, Fortified Orange Juice, Tofu"
Kidney Stones,"Nuts, Whole Grains, Leafy Greens, Avocados"
Hypertensive Heart Disease,"Dairy Products, Leafy Greens, Fortified Orange Juice, Tofu"
Hypertensive Heart Disease,"Spinach, Nuts, Seeds, Whole Grains"
goitre,"Iodized salt, seaweed, fish, dairy products"
goitre,"eggs, cranberries, strawberries, potatoes"
Night Blindness,"Carrots, sweet potatoes, spinach, kale, liver"
Night Blindness,"butternut squash, mangoes, red bell peppers"
Xerophthalmia,"Carrots, sweet potatoes, spinach, liver"
Xerophthalmia,"kale, apricots, pumpkin, eggs"
Marasmus,"Chicken, beans, eggs, fish, peanut butter"
Marasmus,"quinoa, almonds, lentils"
Hypocalcemia,"Milk, yogurt, cheese, almonds"
Hypocalcemia,"broccoli, kale, sardines, tofu"
Hypokalemia,"Bananas, oranges, potatoes, spinach"
Hypokalemia,"sweet potatoes, avocados, tomatoes, beans"
Hypomagnesemia,"Spinach, almonds, cashews, black beans"
Hypomagnesemia,"avocado, dark chocolate, whole grains, pumpkin seeds"
Hypovitaminosis D,"Salmon, fortified milk, sardines, egg yolks"
Hypovitaminosis D,"fortified orange juice, mushrooms, beef liver, cod liver oil"
Hypovitaminosis K,"Kale, spinach, broccoli, brussels sprouts"
Hypovitaminosis K,"green beans, cabbage, asparagus, lettuce"
Hypovitaminosis E,"Sunflower seeds, almonds, spinach, avocado"
Hypovitaminosis E,"peanuts, hazelnuts, pumpkin, butternut squash"
Hypocalcemia-related Tetany,"Yogurt, milk, cheese, kale, collard greens"
Hypocalcemia-related Tetany,"sardines, fortified orange juice, almonds"
Ariboflavinosis,"Eggs, milk, almonds, spinach, yogurt"
Ariboflavinosis,"mushrooms, fortified cereals, beef liver"
Biotin Deficiency,"Eggs, nuts, seeds, sweet potatoes"
Biotin Deficiency,"spinach, broccoli, mushrooms, salmon"
Hypophosphatemia,"Chicken, turkey, pork, dairy products"
Hypophosphatemia,"beans, lentils, nuts, fish"
Copper Deficiency,"Shellfish, nuts, seeds, whole grains,"
Copper Deficiency,"beans, potatoes, dark chocolate, organ meats"
Zinc Deficiency,"Oysters, beef, pumpkin seeds, lentils"
Zinc Deficiency,"chickpeas, cashews, yogurt, oatmeal"
Wernicke-Korsakoff Syndrome,"Pork, whole grains, sunflower seeds, green pea"
Wernicke-Korsakoff Syndrome,"lentils, black beans, fish, acorn squash"
Homocystinuria,"Chicken, turkey, salmon, eggs, spinach"
Homocystinuria,"chickpeas, avocado, sunflower seeds"
Hypocobalaminemia,"Clams, beef liver, sardines, tuna"
Hypocobalaminemia,"milk, cheese, eggs, fortified cereals"
Keshan Disease,"Brazil nuts, tuna, eggs, sunflower seeds"
Keshan Disease,"chicken, turkey, beef, spinach"
Hyperkeratosis,"Carrots, sweet potatoes, butternut squash, spinach"
Hyperkeratosis,"kale, liver, mangoes, apricots"
Hypoglycemia,"Oatmeal, apples, sweet potatoes, yogurt"
Hypoglycemia,"berries, peanut butter, quinoa, almonds"
Atherosclerosis,"Salmon, flaxseed, walnuts, chia seeds"
Atherosclerosis,"olive oil, avocados, spinach, blueberries"
Peripheral Neuropathy,"Eggs, fortified cereals, spinach, salmon"
Peripheral Neuropathy,"chicken, beef, almonds, yogurt"
Hypocalcemic Cardiomyopathy,"Yogurt, cheese, broccoli, kale, almonds"
Hypocalcemic Cardiomyopathy,"fortified orange juice, sardines, tofu"
Pancreatic Insufficiency,"Eggs, dairy products, beef liver, fish"
Pancreatic Insufficiency,"carrots, spinach, almonds, fortified cereals"
Hypoglycemia-induced Seizure,"Whole grains, sweet potatoes, beans, oatmeal"
Hypoglycemia-induced Seizure,"apples, carrots, yogurt, quinoa"
Nyctalopia,"Carrots, spinach, sweet potatoes, liver"
Nyctalopia,"kale, red bell peppers, apricots, cantaloupe"
Hypotension,"Bananas, spinach, avocados, potatoes"
Hypotension,"yogurt, chicken, almonds, salmon"
Celiac Disease,"Fish, eggs, leafy greens, dairy products"
Celiac Disease,"quinoa, fortified cereals, almonds, lentils"
Hypercalcemia,"Broccoli, leafy greens, oatmeal, tofu"
Hypercalcemia,"almonds, sardines, sweet potatoes, beans"
Hyperphosphatemia,"Apples, white rice, cucumber, zucchini"
Hyperphosphatemia,"cabbage, bell peppers, carrots, mushrooms"
Insulin Resistance,"Whole grains, leafy greens, nuts, beans"
Insulin Resistance,"avocado, olive oil, salmon, berries"
Spina Bifida,"Spinach, black-eyed peas, asparagus, Brussels sprouts"
Spina Bifida,"avocados, broccoli, fortified cereals, oranges"
Megaloblastic Anemia,"Clams, fortified cereals, eggs, chickpeas"
Megaloblastic Anemia,"spinach, asparagus, lentils, beef liver"
Dry Eye Syndrome,"Salmon, flaxseed, walnuts, spinach,"
Dry Eye Syndrome,"carrots, eggs, chia seeds, sweet potatoes"
Hypokalemia-induced Paralysis,"Bananas, oranges, spinach, sweet potatoes,"
Hypokalemia-induced Paralysis,"yogurt, avocados, tomatoes, beans"
Myxedema,"Iodized salt, seaweed, dairy products, eggs"
Myxedema,"cranberries, strawberries, potatoes, fish"
Cretinism,"Iodized salt, dairy products, seaweed, fish"
Cretinism,"eggs, potatoes, cranberries, yogurt"
Hyponatremia,"Table salt, tomatoes, celery, olives, pickles"
Hyponatremia,"spinach, carrots, cottage cheese"
Hypovitaminosis D-linked Cardiovascular Disease,"Salmon, fortified orange juice, eggs, fortified milk"
Hypovitaminosis D-linked Cardiovascular Disease,"mushrooms, tuna, beef liver, sardines"
Atrophic Gastritis,"Clams, beef, yogurt, milk"
Atrophic Gastritis,"fortified cereals, eggs, salmon, cheese"
Hypochromic Microcytic Anemia,"Red meat, spinach, lentils, pumpkin seeds"
Hypochromic Microcytic Anemia,"quinoa, beans, tofu, fortified cereals"
Immune Dysfunction,"Oranges, strawberries, almonds, spinach"
Immune Dysfunction,"bell peppers, sunflower seeds, carrots, yogurt"
Lactose Intolerance-related Calcium Deficiency,"Broccoli, kale, sardines, tofu, almonds"
Lactose Intolerance-related Calcium Deficiency,"orange juice, fortified almond milk, beans"
Osteopenia,"Yogurt, salmon, spinach, almonds, cheese"
Osteopenia,"orange juice, broccoli, tofu"
Chronic Fatigue Syndrome,"Almonds, spinach, cashews, bananas"
Chronic Fatigue Syndrome,"salmon, whole grains, avocado, beans"
Sideroblastic Anemia,"Chickpeas, salmon, tuna, chicken"
Sideroblastic Anemia,"fortified cereals, potatoes, bananas, avocado"
Hypervitaminosis A,"Leafy greens, salmon, yogurt, broccoli"
Hypervitaminosis A,"almonds, sardines, carrots, milk"
Fructose Malabsorption,"Oysters, chickpeas, lentils, cashews"
Fructose Malabsorption,"beef, yogurt, oatmeal, pumpkin seeds"
Irritable Bowel Syndrome,"Yogurt, chia seeds, oats, sweet potatoes"
Irritable Bowel Syndrome,"apples, blueberries, ginger, carrots"
Hypokalemia-related Muscle Paralysis,"Bananas, spinach, sweet potatoes, tomatoes"
Hypokalemia-related Muscle Paralysis,"avocados, beans, oranges, yogurt"
Peripheral Vascular Disease,"Sunflower seeds, almonds, spinach, avocado"
Peripheral Vascular Disease,"peanuts, hazelnuts, butternut squash, olive oil"
Hyperhomocysteinemia,"Salmon, spinach, eggs, sunflower seeds,"
Hyperhomocysteinemia,"chicken, beans, fortified cereals, yogurt"
Chronic Gastritis,"Clams, beef liver, milk, yogurt"
Chronic Gastritis,"fortified cereals, eggs, tuna, chicken"
Alcoholic Liver Disease,"Carrots, spinach, red bell peppers, oranges,"
Alcoholic Liver Disease,"strawberries, yogurt, almonds, sunflower seeds"
Paranoia and Mood Disorders,"Spinach, eggs, fortified cereals, sunflower seeds"
Paranoia and Mood Disorders,"beef, chicken, bananas, avocado"
Porphyria,"Salmon, sardines, fortified orange juice, fortified milk,"
Porphyria,"mushrooms, eggs, tuna, cod liver oil"
Restless Legs Syndrome,"Spinach, pumpkin seeds, almonds, beans"
Restless Legs Syndrome,"chickpeas, quinoa, avocado, tofu"
Hypovitaminosis C-linked Vascular Weakness,"Oranges, strawberries, bell peppers, broccoli"
Hypovitaminosis C-linked Vascular Weakness,"kiwi, kale, papaya, tomatoes"
Acrodermatitis Enteropathica,"Oysters, beef, pumpkin seeds, lentils"
Acrodermatitis Enteropathica,"cashews, chickpeas, yogurt, oatmeal"
Hypokalemia-related Cardiac Arrhythmia,"Bananas, spinach, sweet potatoes, yogurt, avocados"
Hypokalemia-related Cardiac Arrhythmia,"tomatoes, oranges, beans"
Cystic Fibrosis-related Fat-soluble Vitamin Deficiencies,"carrots, pumpkin, almonds, liver"
Cystic Fibrosis-related Fat-soluble Vitamin Deficiencies,"Salmon, eggs, fortified milk, spinach"
Hemochromatosis,"Tea, coffee, whole grains, brown rice"
Hemochromatosis,"oatmeal, blueberries, spinach, beans"
Tinnitus,"Beef, yogurt, cashews, oysters"
Tinnitus,"fortified cereals, milk, chicken, eggs"
Dental Caries,"Milk, cheese, yogurt, leafy greens"
Dental Caries,"almonds, fortified orange juice, broccoli, salmon"
Hyperphosphatemia-related Bone Pain,"Apples, cucumber, zucchini, white rice"
Hyperphosphatemia-related Bone Pain,"cabbage, bell peppers, carrots, green beans"
Hypochlorhydria,"Red meat, fortified cereals, clams"
Hypochlorhydria,"yogurt, milk, beans, spinach, eggs"
Eczema and Dermatitis,"Almonds, spinach, sunflower seeds, pumpkin seeds"
Eczema and Dermatitis,"carrots, sweet potatoes, salmon, broccoli"
